CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
"(S
  </VB
  a/DT
  href=/NN
  ''/''
  http/NN
  :/:
  //www.youtube.com/watch/NN
  ?/.
  v=KQ6zr6kCPj8/NN
  &/CC
  amp/NN
  ;/:
  t=2m19s/CC
  ''/''
  >/VBZ
  2:19/CD
  </NN
  /a/NNP
  >/NNP
  best/JJS
  part﻿/NN)",2015-05-28T21:39:52.376000,Corey Wilson,z13uwn2heqndtr5g304ccv5j5kqqzxjadmc0k,0
(S wierd/NN but/CC funny﻿/NN),2015-05-28T20:07:20.610000,Epic Gaming,z124jvczaz3dxhnbc04cffk43oiugj25yzo0k,0
"(S
  Hey/NNP
  guys/NNS
  ,/,
  I/PRP
  &/CC
  #/#
  39/CD
  ;/:
  m/VB
  a/DT
  human./NN
  </NN
  br/NN
  //NNP
  >/NNP
  </NNP
  br/NN
  //NNP
  >/NNP
  </NNP
  br/NN
  //NNP
  >/NNP
  But/CC
  I/PRP
  don/VBP
  &/CC
  #/#
  39/CD
  ;/:
  t/NN
  want/VBP
  to/TO
  be/VB
  a/DT
  human/JJ
  ,/,
  I/PRP
  want/VBP
  to/TO
  be/VB
  a/DT
  sexy/JJ
  fucking/NN
  giraffe./NN
  </NNP
  br/NN
  //NNP
  >/NNP
  </NNP
  br/NN
  //NNP
  >/NNP
  </NNP
  br/NN
  //NNP
  >/NNP
  I/PRP
  already/RB
  have/VBP
  the/DT
  money/NN
  for/IN
  the/DT
  surgery/NN
  to/TO
  elongate/VB
  my/PRP$
  spinal/JJ
  core/NN
  ,/,
  the/DT
  surgery/NN
  to/TO
  change/VB
  my/PRP$
  skin/NN
  pigment/NN
  ,/,
  and/CC
  everything/NN
  else/RB
  !/.
  Like/IN
  this/DT
  post/NN
  so/IN
  others/NNS
  can/MD
  root/VB
  me/PRP
  on/IN
  in/IN
  my/PRP$
  dream/NN
  !/.
  !/.
  !/.
  !/.
  </JJ
  br/NN
  //NNP
  >/NNP
  </NNP
  br/NN
  //NNP
  >/NNP
  </NNP
  br/NN
  //NNP
  >/NNP
  Im/NNP
  fucking/VBG
  with/IN
  you/PRP
  ,/,
  I/PRP
  make/VBP
  music/NN
  ,/,
  check/VB
  out/RP
  my/PRP$
  first/JJ
  song/NN
  !/.
  </VB
  a/DT
  rel=/NN
  ''/''
  nofollow/NN
  ''/''
  class=/NN
  ''/''
  ot-hashtag/NN
  ''/''
  href=/NN
  ''/''
  https/NN
  :/:
  //plus.google.com/s//CD
  %/NN
  23giraffebruuh/CD
  ''/''
  >/NN
  #/#
  giraffebruuh/NN
  </NNP
  /a/NNP
  >/NNP
  ﻿/NN)",2015-05-28T19:23:35.355000,LaS Music,z13tczjy5xj0vjmu5231unho1ofey5zdk,1
"(S
  (PERSON Party/NNP)
  (GPE Rock/NNP)
  .../:
  .lol/NN
  .../:
  who/WP
  wants/VBZ
  to/TO
  shuffle/VB
  !/.
  !/.
  !/.
  ﻿/NN)",2015-05-28T17:49:35.294000,Cheryl Fox,z13tzr0hdpnayhqqc04cd3zqqqjkf3ngckk0k,0
(S (GPE Party/NNP) rock﻿/NN),2015-05-28T16:28:26.818000,PATRICK_TW,z12pcvix4zedcjvyb04ccr1r0mr2g5xwyng0k,0
(S Shuffle﻿/NN),2015-05-28T08:58:10.905000,Brian Brai,z13rcnlyamexujnf022vcrb5qouetpjz404,0
(S Omg﻿/NN),2015-05-28T08:57:27.399000,Brian Brai,z13oe5si1ouygx2dv22vcrb5qouetpjz404,0
(S This/DT song/NN is/VBZ just/RB really/RB fun/JJ ﻿/NN),2015-05-28T04:15:22.615000,Alex DeFeo,z123izobdqqyszmsx231cfuahxfjwjmpk04,0
(S (PERSON Awsome/NNP) </NNP br/NN //NNP >/NNP ﻿/NN),2015-05-28T03:52:56.877000,Giovanni Jimenez,z13ghh0z5z3li1q1i22jdjma0xn2z535404,0
"(S
  wow/NN
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  increible/JJ
  song/NN
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  ﻿/NN)",2015-05-28T03:26:23.957000,Silvia Bascur,z13lwnoznomnynobc04cd5oylkz4vbngkhk,0
