CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
"Huh/NNP ,/, anyway/RB check/VB out/RP this/DT you/PRP [/VBP tube/JJ ]/JJ channel/NN :/: kobyoshi02/NN",2013-11-07T06:20:48,Julius NM,LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,1
"Hey/NNP guys/NNS check/VBP out/RP my/PRP$ new/JJ channel/NN and/CC our/PRP$ first/JJ vid/NN THIS/NNP IS/VBZ US/NNP THE/NNP MONKEYS/NNP !/. !/. !/. I/PRP 'm/VBP the/DT monkey/NN in/IN the/DT white/JJ shirt/NN ,/, please/VB leave/VB a/DT like/JJ comment/NN and/CC please/VB subscribe/NN !/. !/. !/. !/.",2013-11-07T12:37:15,adam riyati,LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,1
just/RB for/IN test/NN I/PRP have/VBP to/TO say/VB murdev.com/NN,2013-11-08T17:34:21,Evgeny Murashkin,LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,1
me/PRP shaking/VBG my/PRP$ sexy/JJ ass/NN on/IN my/PRP$ channel/NN enjoy/NN ^_^/NNP ﻿/NN,2013-11-09T08:28:43,ElNino Melendez,z13jhp0bxqncu512g22wvzkasxmvvzjaz04,1
watch/NN ?/. v=vtaRGgvGtWQ/JJ Check/VB this/DT out/RP .﻿/NN,2013-11-10T16:05:38,GsMega,z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,1
"Hey/NNP ,/, check/NN out/IN my/PRP$ new/JJ website/JJ !/. !/. This/DT site/NN is/VBZ about/IN kids/NNS stuff/NN ./. kidsmediausa/NN ./. com/NN",2013-11-26T02:55:11,Jason Haddad,LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,1
Subscribe/NN to/TO my/PRP$ channel/NNS ﻿/VBP,2013-11-27T21:39:24,ferleck ferles,z13lfzdo5vmdi1cm123te5uz2mqig1brz04,1
i/NN turned/VBD it/PRP on/IN mute/NN as/IN soon/RB is/VBZ i/JJ came/VBD on/IN i/NN just/RB wanted/VBD to/TO check/VB the/DT views/NNS .../: ﻿/NN,2013-11-28T12:33:27,Bob Kanowski,z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,0
You/PRP should/MD check/VB my/PRP$ channel/NN for/IN Funny/NNP VIDEOS/NNP !/. !/. ﻿/NN,2013-11-28T16:01:47,Cony,z13ttt1jcraqexk2o234ghbgzxymz1zzi04,1
and/CC u/JJ should.d/NN check/VB my/PRP$ channel/NN and/CC tell/VB me/PRP what/WP I/PRP should/MD do/VB next/RB !/. ﻿/NN,2013-11-28T16:30:13,BeBe Burkey,z12avveb4xqiirsix04chxviiljryduwxg0,1
Hey/NNP subscribe/VBD to/TO me﻿/VB,2013-11-28T17:06:17,Huckyduck,z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,1
Once/RB you/PRP have/VBP started/VBN reading/NN do/VB not/RB stop/VB ./. If/IN you/PRP do/VBP not/RB subscribe/VB to/TO me/PRP within/IN one/CD day/NN you/PRP and/CC you/PRP 're/VBP entire/JJ family/NN will/MD die/VB so/RB if/IN you/PRP want/VBP to/TO stay/VB alive/JJ subscribe/NN right/NN now.﻿/NN,2013-11-28T17:34:55,Lone Twistt,z13xit5agm2zyh4f523rst2gowmbx5bml,1
https/NN :/: //twitter.com/GBphotographyGB﻿/NN,2013-11-28T17:54:39,Archie Lewis,z13pejoiuozwxtdu323dspopnri4xts0f,1
subscribe/NNS like/IN comment﻿/NN,2013-11-28T18:12:12,TheUploadaddict,z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,1
please/NN like/IN :/: D/NNP https/NN :/: //premium.easypromosapp.com/voteme/19924/616375350﻿/NN,2013-11-28T19:52:35,Francisco Nora,z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,1
"Hello/NN !/. Do/VBP you/PRP like/IN gaming/VBG ,/, art/NN videos/NN ,/, scientific/JJ experiments/NNS ,/, tutorials/NNS ,/, lyrics/NNS videos/VBP ,/, and/CC much/RB ,/, much/RB more/JJR of/IN that/DT ?/. If/IN you/PRP do/VBP please/VB check/VB out/RP our/PRP$ channel/NNS and/CC subscribe/NN to/TO it/PRP ,/, we/PRP 've/VBP just/RB started/VBN ,/, but/CC soon/RB we/PRP hope/VBP we/PRP will/MD be/VB able/JJ to/TO cover/VB all/DT of/IN our/PRP$ expectations/NNS .../: You/PRP can/MD also/RB check/VB out/RP what/WP we/PRP 've/VBP got/VBN so/RB far/RB !/. ﻿/NN",2013-11-28T21:14:13,Gaming and Stuff PRO,z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,1
I/PRP 'm/VBP only/RB checking/VBG the/DT views﻿/NN,2013-11-28T21:49:00,Zielimeek21,z13bgdvyluihfv11i22rgxwhuvabzz1os04,0
http/NN :/: //www.ebay.com/itm/171183229277/NN ?/. ssPageName=STRK/NN :/: MESELX/NN :/: IT/NNP &/CC amp/NN ;/: _trksid=p3984.m1555.l2649/CC ﻿/VB,2013-11-28T21:55:02,OutrightIgnite,z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,1
http/NN :/: //ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿/NN,2013-11-28T23:57:13,Tony K Frazier,z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,1
"We/PRP are/VBP an/DT EDM/NNP apparel/NN company/NN dedicated/VBN to/TO bringing/VBG you/PRP music/NN inspired/VBN designs/NNS ./. Our/PRP$ clothing/NN is/VBZ perfect/JJ for/IN any/DT rave/NN or/CC music/NN festival/NN ./. We/PRP have/VBP NEON/VBN crop/NN tops/NNS ,/, tank/NN tops/NNS ,/, t-shirts/NNS ,/, v-necks/NNS and/CC accessories/NNS !/. follow/VBP us/PRP on/IN Facebook/NNP or/CC on/IN instagraml/NNS for/IN free/JJ giveaways/NNS news/NN and/CC more/JJR !/. !/. visit/VB our/PRP$ site/NN at/IN OnCueApparel﻿/NNP",2013-11-29T00:22:01,Jose Renteria,z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,1
i/NN think/VBP about/IN 100/CD millions/NNS of/IN the/DT views/NNS come/VBP from/IN people/NNS who/WP only/RB wanted/VBD to/TO check/VB the/DT views﻿/NN,2013-11-29T02:13:56,zhichao wang,z12axnji5w2axxht522thb3bktvqjdlbp04,0
subscribe/NN to/TO my/PRP$ channel/NN people/NNS :/: D﻿/NN,2013-12-01T01:20:21,Carlos Thegamer,z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,1
Show/VB your/PRP$ AUBURN/NNP PRIDE/NNP HERE/NNP :/: http/NN :/: //www.teespring.com/tigermeathoodie﻿/NN,2013-12-01T03:30:55,OutrightIgnite,z12ohdxjtsatvppjb04cctprprb1slnxdf4,1
just/RB checking/VBG the/DT views﻿/NN,2013-12-01T04:51:52,Owen Lai,z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,0
CHECK/VB OUT/NNP MY/NNP CHANNEL/NNP,2013-12-23T12:54:38,||GuitarZ||,LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,1
marketglory/NN ./. com/strategygame/andrijamatf/NN earn/VBP real/JJ money/NN from/IN game/NN,2013-12-25T19:46:26,Living4Techno,LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8,1
Hey/NNP guys/NNS !/. Im/NNP a/DT 12/CD yr/NN old/JJ music/NN producer/NN ./. I/PRP make/VBP chiptunes/NNS and/CC 8bit/CD music/NN ./. It/PRP would/MD be/VB wonderful/JJ if/IN you/PRP checked/VBD out/RP some/DT of/IN my/PRP$ 8bit/CD remixes/NN !/. I/PRP even/RB have/VBP a/DT gangnamstyle/JJ 8bit/CD remix/NN if/IN you/PRP would/MD like/VB to/TO check/VB that/IN out/RP ;/: )/) Thanks/VBZ !/. !/.,2013-12-27T23:07:50,8-BitMusic,LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,1
