CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
i/RB love/VBP this/DT so/RB much/JJ ./. AND/CC also/RB I/PRP Generate/VBP Free/JJ Leads/NNP on/IN Auto/NNP Pilot/NNP &/CC amp/NN ;/: You/PRP Can/MD Too/VB !/. http/NN :/: //www.MyLeaderGate.com/moretraffic﻿/NN,2014-07-22T15:27:50,lekanaVEVO1,z12pgdhovmrktzm3i23es5d5junftft3f,1
http/NN :/: //www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3/JJ Vote/NNP for/IN SONES/NNP please/NN .../: .we/JJ 're/VBP against/IN vips/NNS .../: .please/NNP help/VB us../NNP &/CC gt/NN ;/: ./. &/CC lt/NN ;/: ﻿/CC,2014-07-27T01:57:16,Pyunghee,z13yx345uxepetggz04ci5rjcxeohzlrtf4,1
"Hey/NNP guys/NNS !/. Please/NNP join/VB me/PRP in/IN my/PRP$ fight/NN to/TO help/VB abused/mistreated/JJ animals/NNS !/. All/DT fund/NN will/MD go/VB to/TO helping/VBG pay/VB for/IN vet/JJ bills/and/NN or/CC helping/VBG them/PRP find/VBP homes/NNS !/. I/PRP will/MD place/VB an/DT extra/JJ emphasis/NN on/IN helping/VBG disabled/JJ animals/NNS ,/, ones/NNS otherwise/RB would/MD just/RB be/VB put/VBN to/TO sleep/VB by/IN other/JJ animal/JJ organizations/NNS ./. Donate/NNP please/NN ./. http/NN :/: //www.gofundme.com/Angels-n-Wingz﻿/JJ",2014-07-27T02:51:43,Erica Ross,z12lsjvi3wa5x1vwh04cibeaqnzrevxajw00k,1
http/NN :/: //psnboss.com//NN ?/. ref=2tGgp3pV6L/NN this/DT is/VBZ the/DT song﻿/NN,2014-08-01T12:27:48,Aviel Haimov,z13jcjuovxbwfr0ge04cev2ipsjdfdurwck,1
Hey/NNP everyone/NN ./. Watch/VB this/DT trailer/NN !/. !/. !/. !/. !/. !/. !/. !/. http/NN :/: //believemefilm.com/NN ?/. hlr=h2hQBUVB﻿/NN,2014-08-01T21:04:03,John Bello,z13qybua2yfydzxzj04cgfpqdt2syfx53ms0k,1
check/NN out/IN my/PRP$ rapping/VBG hope/NN you/PRP guys/VBP like/IN it/PRP https/VBZ :/: //soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork/NN and/CC follow/VB and/CC message/VB me/PRP :/: )/) ﻿/NN,2014-08-02T23:12:49,Nere Overstylish,z12rw1o4zvidhdthz04cixxjssq5wzsrlpk0k,1
"Subscribe/NNP pleaaaase/NN to/TO my/PRP$ instagram/NN account/NN ,/, i/JJ 'll/MD subscribe/VB back/RB ♥/JJ http/NN :/: //instagram.com/cyrine_ghorbel﻿/NN",2014-08-03T21:20:41,Jayki L,z13xizvwrki2hf2ev22txvrp2ovcyf3zq04,1
hey/NN guys/NNS !/. !/. visit/NN my/PRP$ channel/NN pleaase/NN (/( i/JJ 'm/VBP searching/VBG a/DT dream/NN )/) ﻿/NN,2014-08-06T21:14:15,djh3mi,z12ogvgbmre3eloah04ccjbpsmusxdxbwc0,1
Nice/JJ !/. http/NN :/: //www.barnesandnoble.com/s/BDP/NN ?/. csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO/NN &/CC amp/NN ;/: sort=DD/CC &/CC amp/NN ;/: size=90/CC &/CC amp/NN ;/: csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL/NN &/CC amp/NN ;/: dref=5094/CC &/CC amp/NN ;/: keyword=BDP/CC &/CC amp/NN ;/: store=EBOOK/CC ﻿/VB,2014-08-07T17:46:23,Manuel Ortiz,z125efjyoyaxwhzhz04cgh4oaontcvvdc,1
http/NN :/: //www.twitch.tv/daconnormc﻿/NN,2014-08-07T19:40:18,Mike Bennett,z12is34ysrzoy3uwl04cctlxmrekjfuhvig,1
Hey/NNP Guys/NNP this/DT is/VBZ Glamour/NNP Beauty/NNP !/. I/PRP just/RB started/VBD my/PRP$ youtube/NN channel/NN please/NN go/VB check/VB it/PRP out/RP !/. I/PRP 'm/VBP going/VBG to/TO post/VB singing/NN videos/NN and/CC also/RB random/VB videos/IN that/DT I/PRP fell/VBD like/IN !/. Please/NNP go/VB to/TO subscribe/VB !/. More/JJR to/TO come/VB soon/RB !/. ./. Remember/NNP to/TO subscribe/VB !/. ﻿/NN,2014-08-09T03:01:25,Lil Misme,z13ijjrgqqyqzfo2t23zfztbtlu4ghg5o04,1
Hey/NNP guys/NN !/. My/NNP mom/NN said/VBD if/IN i/JJ got/VBD 100/CD subs/NNS before/IN christmas/NN I/PRP 'll/MD get/VB a/DT kitten/NN and/CC I/PRP always/RB have/VBP wanted/VBN an/DT kitten/VBN so/RB please/JJ watch/VB my/PRP$ videos/NNS and/CC if/IN you/PRP like/VBP it/PRP subscribe/VBZ or/CC like/IN :/: )/) Please/VB no/DT mean/NN comments﻿/NN,2014-08-09T20:12:26,Emilie,z122xxgxipvdzpovt22xjlyi5o3pebufp,1
https/NN :/: //www.facebook.com/photo.php/NN ?/. fbid=543627485763966/NN &/CC amp/NN ;/: l=0d878a889c﻿/CC,2014-08-11T01:43:41,Eduarda Ketrony,z122hzpj5v3kgf5zu04chv4xaqalhdr4flw0k,1
https/NN :/: //www.facebook.com/photo.php/NN ?/. v=4483179854075/NN &/CC amp/NN ;/: set=vb.1727483389/CC &/CC amp/NN ;/: type=2/CC &/CC amp/NN ;/: theater/NN ﻿/NN,2014-08-11T13:38:22,Jennika Chua,z12gu1fouyfqx3a5304chpdqbwm3dja4v2c,1
https/NN :/: //soundcloud.com/artady/JJ please/NN check/VB my/PRP$ stuff/NN ;/: and/CC make/VB some/DT feedback﻿/NN,2014-08-11T16:27:55,Artady,z13jtfwiuwrvy1tng23gid4hesqwxl4cm,1
Take/VB a/DT break/NN from/IN Katie/NNP and/CC help/VB me/PRP reach/VB 100/CD subscribers/NNS this/DT month/NN !/. New/NNP music/NN and/CC free/JJ downloads/NNS !/. ﻿/NN,2014-08-11T17:32:00,J STROMMER,z12bxv4olmv3j1i2w232y5awruz3i1rva,1
Subscribe/NNP me/PRP please﻿/VBP,2014-08-12T05:20:24,Evin Alshamas,z13vendrur3zxdgkd22azzlzftn1vj3pp04,1
Check/VB out/RP my/PRP$ covers/NNS I/PRP have/VBP a/DT video/NN coming/VBG out/RP please/NN subscribe﻿/NN,2014-08-12T18:38:42,maddog1431,z130s5kb0v3yjj3fp23zexx5iyuvv1js5,1
Subscribe/NN to/TO My/NNP CHANNEL﻿/NNP,2014-08-13T03:04:34,MB LOVE,z123std54m2ozht10232efr5svb4vh0au04,1
Hey/NNP guys/NNS ./. I/PRP am/VBP a/DT very/RB small/JJ YouTuber/NNP I/PRP upload/VBP videos/NNS nearly/RB every/DT single/JJ day/NN ./. I/PRP once/RB hope/VBP to/TO be/VB like/IN shikas/NNS so/RB can/MD you/PRP please/VB give/VB 2/CD mins/NNS of/IN your/PRP$ life/NN to/TO view/VB this/DT channel/NN ./. and/CC my/PRP$ new/JJ video/NN is/VBZ on/IN how/WRB to/TO watch/VB all/PDT the/DT anime/NN for/IN free/JJ ./. and/CC I/PRP am/VBP pretty/RB sure/JJ you/PRP wont/VBP regret/JJ visiting/NN this/DT channel/NN ./. Thank/NNP you/PRP !/. ﻿/VB,2014-08-15T15:52:40,IbbyUchiha,z123gzjyszflihgih04cdzeblxuifpxzbes,1
http/NN :/: //www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditionDetail_/JJ ?/. emissionId=3873/NN &/CC amp/NN ;/: id=342/JJ Please/NNP join/VB me/PRP to/TO the/DT voice/NN Liked/NNP and/CC shared/VBD it/PRP please/VB to/TO win/VB more/JJR audition/NN score/NN ./. Thanks/NNS so/RB much﻿/JJ,2014-08-16T07:24:50,Cléda Dimitri,z13ect4j2km1gnhhu04cdfmwnmbkvn45x20,1
katy/NN perry/NN will/MD u/VB sit/NN on/IN my/PRP$ face/NN please/NN ./. it/PRP would/MD be/VB really/RB awesome/JJ and/CC i/JJ 'll/MD give/VB you/PRP 5/CD dollars/NNS ./. ok/NN if/IN you/PRP want/VBP to/TO do/VB this/DT then/RB please/VB call/VB me/PRP and/CC subscribe/VB to/TO my/PRP$ channel/NNS first/RB ok/JJ thats/NNS good/JJ and/CC then/RB u/JJ sit/NN on/IN my/PRP$ face/NN and/CC ill/VB get/VB an/DT erection/NN then/RB you/PRP sit/VBP more/JJR k/NNS ?/. ﻿/NN,2014-08-16T20:59:28,WeMuckAround,z12ddjvqypyusrssu22ewddagoagu1k2v,1
