CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
"Huh , anyway check [ tube ] channel : kobyoshi02",2013-11-07T06:20:48,Julius NM,LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,1
"Hey guys check new channel first vid THIS IS US THE MONKEYS ! ! ! I 'm monkey white shirt , please leave like comment please subscribe ! ! ! !",2013-11-07T12:37:15,adam riyati,LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,1
test I say murdev.com,2013-11-08T17:34:21,Evgeny Murashkin,LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,1
shaking sexy ass channel enjoy ^_^ ﻿,2013-11-09T08:28:43,ElNino Melendez,z13jhp0bxqncu512g22wvzkasxmvvzjaz04,1
watch ? v=vtaRGgvGtWQ Check .﻿,2013-11-10T16:05:38,GsMega,z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,1
"Hey , check new website ! ! This site kids stuff . kidsmediausa . com",2013-11-26T02:55:11,Jason Haddad,LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,1
Subscribe channel ﻿,2013-11-27T21:39:24,ferleck ferles,z13lfzdo5vmdi1cm123te5uz2mqig1brz04,1
turned mute soon came wanted check views ... ﻿,2013-11-28T12:33:27,Bob Kanowski,z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,0
You check channel Funny VIDEOS ! ! ﻿,2013-11-28T16:01:47,Cony,z13ttt1jcraqexk2o234ghbgzxymz1zzi04,1
u should.d check channel tell I next ! ﻿,2013-11-28T16:30:13,BeBe Burkey,z12avveb4xqiirsix04chxviiljryduwxg0,1
Hey subscribe me﻿,2013-11-28T17:06:17,Huckyduck,z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,1
Once started reading stop . If subscribe within one day 're entire family die want stay alive subscribe right now.﻿,2013-11-28T17:34:55,Lone Twistt,z13xit5agm2zyh4f523rst2gowmbx5bml,1
https : //twitter.com/GBphotographyGB﻿,2013-11-28T17:54:39,Archie Lewis,z13pejoiuozwxtdu323dspopnri4xts0f,1
subscribe like comment﻿,2013-11-28T18:12:12,TheUploadaddict,z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,1
please like : D https : //premium.easypromosapp.com/voteme/19924/616375350﻿,2013-11-28T19:52:35,Francisco Nora,z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,1
"Hello ! Do like gaming , art videos , scientific experiments , tutorials , lyrics videos , much , much ? If please check channel subscribe , 've started , soon hope able cover expectations ... You also check 've got far ! ﻿",2013-11-28T21:14:13,Gaming and Stuff PRO,z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,1
I 'm checking views﻿,2013-11-28T21:49:00,Zielimeek21,z13bgdvyluihfv11i22rgxwhuvabzz1os04,0
http : //www.ebay.com/itm/171183229277 ? ssPageName=STRK : MESELX : IT & amp ; _trksid=p3984.m1555.l2649 ﻿,2013-11-28T21:55:02,OutrightIgnite,z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,1
http : //ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,2013-11-28T23:57:13,Tony K Frazier,z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,1
"We EDM apparel company dedicated bringing music inspired designs . Our clothing perfect rave music festival . We NEON crop tops , tank tops , t-shirts , v-necks accessories ! follow us Facebook instagraml free giveaways news ! ! visit site OnCueApparel﻿",2013-11-29T00:22:01,Jose Renteria,z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,1
think 100 millions views come people wanted check views﻿,2013-11-29T02:13:56,zhichao wang,z12axnji5w2axxht522thb3bktvqjdlbp04,0
subscribe channel people : D﻿,2013-12-01T01:20:21,Carlos Thegamer,z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,1
Show AUBURN PRIDE HERE : http : //www.teespring.com/tigermeathoodie﻿,2013-12-01T03:30:55,OutrightIgnite,z12ohdxjtsatvppjb04cctprprb1slnxdf4,1
checking views﻿,2013-12-01T04:51:52,Owen Lai,z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,0
CHECK OUT MY CHANNEL,2013-12-23T12:54:38,||GuitarZ||,LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,1
marketglory . com/strategygame/andrijamatf earn real money game,2013-12-25T19:46:26,Living4Techno,LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8,1
Hey guys ! Im 12 yr old music producer . I make chiptunes 8bit music . It would wonderful checked 8bit remixes ! I even gangnamstyle 8bit remix would like check ; ) Thanks ! !,2013-12-27T23:07:50,8-BitMusic,LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,1
Check ! I 'm kyle . I rap yeah ﻿,2014-01-19T00:21:29,Kyle Jaber,z13kszcinpnvc34v2234fnpxkpmlw3nhc04,1
I dont even watch anymore come check 2 Billion not﻿,2014-01-19T00:36:25,Brandon Pryor,z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,0
"Subscribe free Android games , apps.. ﻿",2014-01-19T00:42:35,Fun&amp;Hacks,z13zvh1rmk3cf3mby04civbq5mjtddmbysk0k,1
everyone please come check newest song memories Martin Luther King Jr.﻿,2014-01-19T04:21:11,Young Hittaz,z120y3ribybzdf3fj23sf1rpgq3cex0sh,1
"Came check views , goodbye.﻿",2014-01-19T04:27:18,DropShotSk8r,z13autsqgzblcx3w104chr4r2kexd10rxc0,0
sub channel reason -_-﻿,2014-01-19T08:55:53,ElepticRage,z12wvpxppxz3ifk3j224cbsgqraherzrg04,1
"Check dubstep song `` Fireball '' , made Fruity Loops . I really took time . /watch ? v=telOA6RIO8o﻿",2014-01-19T10:31:10,Joengz,z121e3zq5kj3ip2ch22ks3vwekuaibrgc04,1
2 billion ... .Coming soon﻿,2014-01-19T13:25:56,Tasha Lucius,z13kxpqqssa0hlryd04cc1dxeyyngljjngk,0
Why dafuq Korean song big USA . Does mean support Koreans ? Last time I checked wanted bomb us . ﻿,2014-01-19T16:15:54,Jason Provencal,z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k,0
Check channel please ! And listen best music ever : P﻿,2014-01-19T16:49:52,Kiddy Kidso,z12txle43yfhvt0f323eghbxivmuytieq,1
