CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
love much . AND also I Generate Free Leads Auto Pilot & amp ; You Can Too ! http : //www.MyLeaderGate.com/moretraffic﻿,2014-07-22T15:27:50,lekanaVEVO1,z12pgdhovmrktzm3i23es5d5junftft3f,1
http : //www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 Vote SONES please ... .we 're vips ... .please help us.. & gt ; . & lt ; ﻿,2014-07-27T01:57:16,Pyunghee,z13yx345uxepetggz04ci5rjcxeohzlrtf4,1
"Hey guys ! Please join fight help abused/mistreated animals ! All fund go helping pay vet bills/and helping find homes ! I place extra emphasis helping disabled animals , ones otherwise would put sleep animal organizations . Donate please . http : //www.gofundme.com/Angels-n-Wingz﻿",2014-07-27T02:51:43,Erica Ross,z12lsjvi3wa5x1vwh04cibeaqnzrevxajw00k,1
http : //psnboss.com/ ? ref=2tGgp3pV6L song﻿,2014-08-01T12:27:48,Aviel Haimov,z13jcjuovxbwfr0ge04cev2ipsjdfdurwck,1
Hey everyone . Watch trailer ! ! ! ! ! ! ! ! http : //believemefilm.com ? hlr=h2hQBUVB﻿,2014-08-01T21:04:03,John Bello,z13qybua2yfydzxzj04cgfpqdt2syfx53ms0k,1
check rapping hope guys like https : //soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork follow message : ) ﻿,2014-08-02T23:12:49,Nere Overstylish,z12rw1o4zvidhdthz04cixxjssq5wzsrlpk0k,1
"Subscribe pleaaaase instagram account , 'll subscribe back ♥ http : //instagram.com/cyrine_ghorbel﻿",2014-08-03T21:20:41,Jayki L,z13xizvwrki2hf2ev22txvrp2ovcyf3zq04,1
hey guys ! ! visit channel pleaase ( 'm searching dream ) ﻿,2014-08-06T21:14:15,djh3mi,z12ogvgbmre3eloah04ccjbpsmusxdxbwc0,1
Nice ! http : //www.barnesandnoble.com/s/BDP ? csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO & amp ; sort=DD & amp ; size=90 & amp ; csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL & amp ; dref=5094 & amp ; keyword=BDP & amp ; store=EBOOK ﻿,2014-08-07T17:46:23,Manuel Ortiz,z125efjyoyaxwhzhz04cgh4oaontcvvdc,1
http : //www.twitch.tv/daconnormc﻿,2014-08-07T19:40:18,Mike Bennett,z12is34ysrzoy3uwl04cctlxmrekjfuhvig,1
Hey Guys Glamour Beauty ! I started youtube channel please go check ! I 'm going post singing videos also random videos I fell like ! Please go subscribe ! More come soon ! . Remember subscribe ! ﻿,2014-08-09T03:01:25,Lil Misme,z13ijjrgqqyqzfo2t23zfztbtlu4ghg5o04,1
Hey guys ! My mom said got 100 subs christmas I 'll get kitten I always wanted kitten please watch videos like subscribe like : ) Please mean comments﻿,2014-08-09T20:12:26,Emilie,z122xxgxipvdzpovt22xjlyi5o3pebufp,1
https : //www.facebook.com/photo.php ? fbid=543627485763966 & amp ; l=0d878a889c﻿,2014-08-11T01:43:41,Eduarda Ketrony,z122hzpj5v3kgf5zu04chv4xaqalhdr4flw0k,1
