CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
< href= '' http : //www.youtube.com/watch ? v=KQ6zr6kCPj8 & amp ; t=2m19s '' > 2:19 < /a > best part﻿,2015-05-28T21:39:52.376000,Corey Wilson,z13uwn2heqndtr5g304ccv5j5kqqzxjadmc0k,0
wierd funny﻿,2015-05-28T20:07:20.610000,Epic Gaming,z124jvczaz3dxhnbc04cffk43oiugj25yzo0k,0
"Hey guys , I & # 39 ; human. < br / > < br / > < br / > But I & # 39 ; want human , I want sexy fucking giraffe. < br / > < br / > < br / > I already money surgery elongate spinal core , surgery change skin pigment , everything else ! Like post others root dream ! ! ! ! < br / > < br / > < br / > Im fucking , I make music , check first song ! < rel= '' nofollow '' class= '' ot-hashtag '' href= '' https : //plus.google.com/s/ % 23giraffebruuh '' > # giraffebruuh < /a > ﻿",2015-05-28T19:23:35.355000,LaS Music,z13tczjy5xj0vjmu5231unho1ofey5zdk,1
Party Rock ... .lol ... wants shuffle ! ! ! ﻿,2015-05-28T17:49:35.294000,Cheryl Fox,z13tzr0hdpnayhqqc04cd3zqqqjkf3ngckk0k,0
Party rock﻿,2015-05-28T16:28:26.818000,PATRICK_TW,z12pcvix4zedcjvyb04ccr1r0mr2g5xwyng0k,0
Shuffle﻿,2015-05-28T08:58:10.905000,Brian Brai,z13rcnlyamexujnf022vcrb5qouetpjz404,0
Omg﻿,2015-05-28T08:57:27.399000,Brian Brai,z13oe5si1ouygx2dv22vcrb5qouetpjz404,0
This song really fun ﻿,2015-05-28T04:15:22.615000,Alex DeFeo,z123izobdqqyszmsx231cfuahxfjwjmpk04,0
Awsome < br / > ﻿,2015-05-28T03:52:56.877000,Giovanni Jimenez,z13ghh0z5z3li1q1i22jdjma0xn2z535404,0
wow ! ! ! ! ! ! increible song ! ! ! ! ! ! ! ! ! ﻿,2015-05-28T03:26:23.957000,Silvia Bascur,z13lwnoznomnynobc04cd5oylkz4vbngkhk,0
I love song much﻿,2015-05-28T03:08:19.077000,Michael Whiteside,z12wctyrfvndsj32n23yhrhrxlyiulpcn,0
2015 LIKEEE﻿,2015-05-28T01:14:19.847000,yenis maría Rodríguez,z12qgle4jsutshh1422kwjzwdkneerd4004,0
I miss people dressed like this.﻿,2015-05-28T00:37:36.183000,Alex Martin,z13rtrlxatfpfruxj04cd1hbizb4hv5jmf0,0
2011- last year decent music.﻿,2015-05-28T00:04:06.940000,Alex Jansen,z12luhmz2trvu1s0y22xyfhq2lbgwhkxm04,0
Best song ever ! ! ! ! ﻿,2015-05-27T23:10:57.437000,Aiden Hill,z12afxix2xnyhxaon04ccdtofrj3h10ygrk0k,0
"super nice , love musique﻿",2015-05-27T22:19:11.429000,joe pepin-leblanc,z12rt5qylz3ny5qdv221epkhvsvxwlgjz04,0
wowwwwwwwwwwwwwwwwwwwwwwwwwwwwww﻿,2015-05-27T20:47:16.351000,bilal kenno,z12ogdfjckevwjtz504chrzytqeqthybckw0k,0
PARTY ROCK ( 8 ) ~﻿,2015-05-27T18:28:25.926000,SoulInChains00,z13fzxmg0si1cpsc323silmpnpuasflls,0
Thumbs watched 2011﻿,2015-05-27T17:28:08.014000,Phương Linh Nguyễn Ngọc,z13xjvjgxqbcgdeni22wxfroqsvutpyb004,0
increidebl﻿,2015-05-27T16:50:10.276000,Gonzalo Ferrare,z12nf31pdvqmjdoyt04cdn3xzvajgrihnfo,0
LMFAO ! ! ! ! ! ! ! ! ﻿,2015-05-27T16:06:08.781000,‫אסף שמש‬‎,z12uwpdgeqnex5wwi04cjlkotmfeuv54zzk0k,0
: ( superr ! ! ! ﻿,2015-05-27T15:44:45.019000,Henri Kameron,z125v3ozoqenvthaz04cdtajsmzwgxkwxug0k,0
2015 ! ! LLIKEE ! ! ﻿,2015-05-27T14:01:10.337000,Lukas Ogonowski,z12eg5zqxqbdfdzcn22uwxoqxovhhz1ke,0
Yeah ! Let & # 39 ; start party ! ﻿,2015-05-27T13:37:19.404000,LoL Games,z13yyrro2wmcshswh04cd3saivu1xdprerk0k,0
This awesome song needed 4 years reach 800 mil views Tango Switch bitch needed 1 year . fairrrrrrr﻿,2015-05-27T13:17:02.665000,snsddien,z13ew5agxpmnifz3223ljn1rtvidtj0fp,0
NICE GIRL : D﻿,2015-05-27T10:49:29.568000,ulvi ualiyev,z13lhzyb0wmyfftcb22pdbg5swe3xlxds,0
I remember back popular everyone school shuffling crazy﻿,2015-05-27T10:45:17.666000,TransFormersAddict11,z134xhhpulz0snlai04cehqhosvst3lxbss0k,0
LMFAO ! ﻿,2015-05-27T10:35:17.730000,Brandon Richards,z13thxlwoy2qftuh204cgvvg3yvpyfbgvvc0k,0
Super awesome video < br / > ﻿,2015-05-27T03:47:34.735000,Jared Acevedo,z12rif2ypuzofjo0s22se3e5dzrnznq2z,0
JUST DANCE 3 😂😂😂﻿,2015-05-27T00:34:43.591000,Paul Crowder,z13xc5v4hkbfdvgpb04ccz0zkrujib4a23c,0
This Will Always Be My Favorite Song < br / > But My Favorite Part Is < href= '' http : //www.youtube.com/watch ? v=KQ6zr6kCPj8 & amp ; t=3m40s '' > 3:40 < /a > - < href= '' http : //www.youtube.com/watch ? v=KQ6zr6kCPj8 & amp ; t=4m11s '' > 4:11 < /a > In The Video ﻿,2015-05-27T00:33:53.183000,Paul Crowder,z13fhbspolbawj5tn22bsbw5ynvlt1kku,0
Party Rock < br / > ﻿,2015-05-27T00:25:35.792000,keonte moore,z133wlxihmr0xzicr224gfj53tnhxlxmg,0
