CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
+447935454150 lovely girl talk xxx﻿,,Lisa Wellas,z12rwfnyyrbsefonb232i5ehdxzkjzjs2,1
I always end coming back song < br / > ﻿,2015-05-29T02:26:10.652000,jason graham,z130wpnwwnyuetxcn23xf5k5ynmkdpjrj04,0
"sister received 6,500 new < rel= '' nofollow '' class= '' ot-hashtag '' href= '' https : //plus.google.com/s/ % 23active '' > # active < /a > youtube views Right . The thing used pimpmyviews . com﻿",,Ajkal Khan,z13vsfqirtavjvu0t22ezrgzyorwxhpf3,1
Cool﻿,2015-05-29T02:13:07.810000,Dakota Taylor,z12wjzc4eprnvja4304cgbbizuved35wxcs,0
Hello I & # 39 ; Palastine﻿,,Jihad Naser,z13xjfr42z3uxdz2223gx5rrzs3dt5hna,1
Wow video almost billion views ! Didn & # 39 ; know popular ﻿,2015-05-29T01:27:30.360000,Darrion Johnson,z133yfmjdur4dvyjr04ceh2osl2fvngrqi4,0
Go check rapping video called Four Wheels please ❤️﻿,,kyeman13,z12zgrw5furdsn0sc233hfwavnznyhicq,1
Almost 1 billion﻿,2015-05-29T00:41:22.426000,Damax,z12vxdzzds2kzzrzq04cdjc4ozq2szuyl5o,0
Aslamu Lykum ... From Pakistan﻿,,Muhammad Asim Mansha,z12gxdortqzwhhqas04cfjrwituzghb5tvk0k,1
Eminem idol people España Mexico Latinoamerica﻿,2015-05-28T23:23:41.231000,JuanPa Rap,z132wd4ywmicxj2gn04cdfhilyryjhmjhk00k,0
Help get 50 subs please ﻿,,Mjt12,z13si1rx3nnbshdoj04cinipcqzwsdhq0bc,1
love song : ) ﻿,2015-05-28T23:10:37.700000,emily 13,z13hwbshcnrhztsw204cirfgvregzvywmag,0
"Alright ladies , like song , check John Rage . He & # 39 ; smoking hot rapper coming game . He & # 39 ; better Eminem lyrically , & # 39 ; hotter . Hear songs channel.﻿",,TheJohnRage,z13nsd141x24yjh2m224xvlhisrqet4pj04,1
The perfect example abuse husbands thing I & # 39 ; feminist I definitely agree song well ... I see someone & # 39 ; going die ! Just sayin.﻿,2015-05-28T22:42:19.185000,William Davis,z132ib3jvvqvzjj5t04ccrequzy5jhvr5ps0k,0
The boyfriend Charlie TV show LOST ﻿,2015-05-28T22:21:26.037000,Ashleigh_ Baise,z13puxp4xp35shhfy22bxx5pqlecxhqgc04,0
< href= '' https : //www.facebook.com/groups/100877300245414/ '' > https : //www.facebook.com/groups/100877300245414/ < /a > ﻿,,Lauralyn Karoll,z13kyh3gdnnzdvxjt04ch5xzwlvjyfujpik,1
Take look video YouTube : ﻿,,Shirley Lim,z12lhjtxlsisx55yu04cjp3x2mnmu34bh3g,1
Check Channel nice Beats ! ! ﻿,,TMCB production (Instrumental Beats),z13hhxajgrnldjmn523dsjqynsewilbm1,1
Rihanna Eminem together unstoppable.﻿,2015-05-28T21:50:26.114000,Sylith,z12xurdj0qznephwg04cftq5rszgxdnq0xw0k,0
Check playlist YouTube : ﻿,,nepaladventure,z13isdtoikvzjlkij04cjxchbpv1tvpgmx40k,1
This song Rape Cheating < br / > < br / > < br / > < br / > < br / > < br / > < br / > < br / > < br / > < br / > Basically ... ..﻿,2015-05-28T21:32:08.714000,Pugnsuit,z13qf1qgcyigy14mx223iv2yqxb5ebze4,0
like please﻿,,Inga Lomidze,z13tyhj4drvcxzllt222tvwp3qi1e34ju04,1
"I love song , & # 39 ; believe 5 years ago , & # 39 ; get old though﻿",2015-05-28T20:46:16.348000,Izana,z12fcjxowubrsnwx104cftlgcpfzw5uwbug0k,0
OMG looks like piece mirror harry potter deathly hallows. < br / > Either house . ( sirius black ) ﻿,2015-05-28T20:24:21.778000,Daniel Klous,z12yg3dp5kf0hnbdj23aftm4iovygt32c,0
"I shared first song & quot ; I Want You & quot ; , I hope & # 39 ; like . Take listen ! ✌️😊 < href= '' https : //youtu.be/-YfUY4gKr1c '' > https : //youtu.be/-YfUY4gKr1c < /a > ﻿",,Martin Gébele MUSIC,z13xstfb3srrybsb404ccl5w4u3gin4pliw,1
Come check music ! Im spamming loads videos try get music across new people﻿,,Crudgy,z12nebyotsjgdxusi22nwj04pzypjx4ti,1
Check playlist YouTube : ﻿,,Joyce Jones,z13ke3jo2mejdbj3v22rslzzwuekwhsch,1
HUH HYUCK HYUCK IM SPECIAL WHO & # 39 ; S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GON NA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿,,Hambro,z13gvxshio2lcx1fx22oc3jplwmhzrpsz,1
"You exactly u want , watching favourite rappers tv﻿",2015-05-28T20:11:52.781000,LIL TEZ,z12litdrrkzmg51kn23ghl2rctvttp0c4,0
Rihanna absolutely gorgeous video.﻿,2015-05-28T19:27:42.212000,Maryf,z13mwrzgekanfjbnw23pgfwzwzf4wxgwv04,0
Check video YouTube : < br / > < br / > Love song ... It & # 39 ; good never go back I & # 39 ; always remember passion never want go back dysfunctional insanity ... ... . Goal live happy live insane . ﻿,,There's No Saving Grace (FreakOffLeash),z12wefdg1w2sz3ase22tsd4j2xn1ybakp,1
"Don & # 39 ; love someone soo much , love way u lie..﻿",2015-05-28T18:41:47.260000,Kishore sl,z12phhz5snysw5yn122xtjtiennhtlqc5,0
one BEST SONGS music history﻿,2015-05-28T17:49:36.288000,Dragon Addict,z121djwacsnbjhafe22nfvj5fuqti5i0t,0
Check playlist YouTube : ﻿,,Belinda Mitchell,z12txfjzxvnaez5ov04cgjkbhnrnt3nzv04,1
