CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
Nice song﻿,2015-05-29T02:30:18.971000,dharma pal,z13lgffb5w3ddx1ul22qy1wxspy5cpkz504,0
I love song ﻿,2015-05-29T00:14:48.748000,Tiza Arellano,z123dbgb0mqjfxbtz22ucjc5jvzcv3ykj,0
I love song ﻿,2015-05-28T21:00:08.607000,Prìñçeśś Âliś Łøvê Dømíñø Mâđiś™ ﻿,z12quxxp2vutflkxv04cihggzt2azl34pms0k,0
"860,000,000 lets make first female reach one billion ! ! Share replay ! ﻿",2015-05-28T20:47:12.193000,Eric Gonzalez,z12icv3ysqvlwth2c23eddlykyqut5z1h,0
shakira best worldcup﻿,2015-05-28T17:08:29.827000,Analena López,z133stly3kete3tly22petvwdpmghrlli,0
The best world cup song ever ! ! ! ! ﻿,2015-05-28T17:06:37.288000,jehoiada wellington,z12myn4rltf4ejddv23mwr3piuapcbl0r,0
I love﻿,2015-05-28T15:46:42.482000,Kara Cuthbertson,z135vzqy1yrjhluew23kibopnrmqsplux,0
SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,2015-05-28T10:28:25.133000,Sudheer Yadav,z12uujnj2sifvzvav04chpypvofvexpoggg,1
Awesome ﻿,2015-05-28T07:44:52.614000,Alex John,z13lvh1qnma4d15sy23lyvqq5riafz52m,0
I like shakira..﻿,2015-05-27T21:31:38.388000,Nirab Valobasha,z135hlk5grfwjhmym04ced0gyzrvsn5avuw0k,0
Shakira - Waka Waka < br / > LOVE THIS SONG ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ﻿,2015-05-27T20:43:10.162000,Chelsea Andrews,z121cvvqftuvuz1ld22pe3agcsepzhhtt,0
Why many disliked ? ? ? ? ? ? ! ! ! ! ! ! 😯﻿,2015-05-27T20:04:41.308000,Kevin Sosa,z12uf5gatnf1dflws04cfrigrxb3zryxtwk0k,0
I & # 39 ; think song ever get old ﻿,2015-05-27T19:00:57.936000,OldSchool Music,z13pihfbwlv5hv4ap04ceh3hvonuhvnxueg,0
Love song﻿,2015-05-27T16:04:42.059000,Stephen Lister,z13utfk5rny3yzqtj22phlsxmtfuspbcp,0
